Date,call_volume,call_percentage,put_volume,put_percentage
2023-05-23,1340454,0.68,642056,0.32
2023-05-24,982088,0.58,710026,0.42
2023-05-25,887922,0.62,550008,0.38
2023-05-26,2332520,0.67,1165476,0.33
2023-05-30,1119184,0.64,629194,0.36
2023-05-31,817728,0.52,757024,0.48
2023-06-01,866620,0.64,495476,0.36
2023-06-02,1515496,0.68,722274,0.32
2023-06-05,646144,0.6,427870,0.4
2023-06-06,878034,0.67,422902,0.33
2023-06-07,1514148,0.59,1070954,0.41
2023-06-08,1119222,0.66,566304,0.34
2023-06-09,989972,0.67,490940,0.33
2023-06-12,788534,0.68,368774,0.32
2023-06-13,821334,0.69,365566,0.31
2023-06-14,673938,0.6,444274,0.4
2023-06-15,769472,0.62,475064,0.38
2023-06-16,848436,0.67,415482,0.33
2023-06-20,602536,0.65,322064,0.35
2023-06-21,776750,0.61,506926,0.39
2023-06-22,2133786,0.71,884498,0.29
2023-06-23,2203808,0.73,801236,0.27
2023-06-26,1176168,0.74,421598,0.26
2023-06-27,883206,0.74,306020,0.26
2023-06-28,924716,0.74,330718,0.26
2023-06-29,751816,0.74,269924,0.26
2023-06-30,1097338,0.69,492258,0.31
2023-07-03,597974,0.74,213390,0.26
2023-07-05,672100,0.72,267830,0.28
2023-07-06,792748,0.69,348262,0.31
2023-07-07,1051582,0.72,408698,0.28
2023-07-10,969874,0.7,415710,0.3
2023-07-11,808894,0.7,346348,0.3
2023-07-12,1040418,0.74,361144,0.26
2023-07-13,1627970,0.71,649624,0.29
2023-07-14,1611982,0.68,743476,0.32
2023-07-17,657892,0.72,261492,0.28
2023-07-18,961350,0.7,406198,0.3
2023-07-19,1195916,0.75,394516,0.25
2023-07-20,1113280,0.68,531158,0.32
2023-07-21,1246814,0.69,564434,0.31
2023-07-24,655488,0.64,366014,0.36
2023-07-25,682284,0.71,284376,0.29
2023-07-26,988610,0.65,540736,0.35
2023-07-27,1169418,0.63,686768,0.37
2023-07-28,944258,0.61,612568,0.39
2023-07-31,491712,0.61,315620,0.39
2023-08-01,472038,0.63,277290,0.37
2023-08-02,749284,0.62,450228,0.38
2023-08-03,1656752,0.61,1081218,0.39
2023-08-04,3631558,0.65,1964956,0.35
